emoji_name,count,emoji_url
10-4,-1,https://emoji.slack-edge.com/T0XNJNF35/10-4/8b8f57f3cb7368b1.png
1000,1,https://emoji.slack-edge.com/T0XNJNF35/1000/74a593821bff1adb.png
1000000,2,https://emoji.slack-edge.com/T0XNJNF35/1000000/792cd5d9127cfafd.png
101,7,https://emoji.slack-edge.com/T0XNJNF35/101/026de93ee21176b9.png
1nanimen,3,https://emoji.slack-edge.com/T0XNJNF35/1nanimen/520afce337ae4574.gif
1st-chakra,3,https://emoji.slack-edge.com/T0XNJNF35/1st-chakra/5810116714d6f63f.png
200iq,3,https://emoji.slack-edge.com/T0XNJNF35/200iq/ce0ac192602d6d86.gif
2nd-chakra,1,https://emoji.slack-edge.com/T0XNJNF35/2nd-chakra/8a0c6f52477f392c.png
3rd-chakra,1,https://emoji.slack-edge.com/T0XNJNF35/3rd-chakra/294170186e3f2efd.png
4head,-1,https://emoji.slack-edge.com/T0XNJNF35/4head/7be64bac407c23ef.png
4th-chakra,2,https://emoji.slack-edge.com/T0XNJNF35/4th-chakra/d1d6b313570b0926.png
50,1,https://emoji.slack-edge.com/T0XNJNF35/50/081b63bc708ca5e3.png
5head,8,https://emoji.slack-edge.com/T0XNJNF35/5head/93799342a49741bb.png
5th-chakra,1,https://emoji.slack-edge.com/T0XNJNF35/5th-chakra/97b97a959f84f714.png
6th-chakra,2,https://emoji.slack-edge.com/T0XNJNF35/6th-chakra/b96ce53333cd8db5.png
7th-chakra,1,https://emoji.slack-edge.com/T0XNJNF35/7th-chakra/bfb55cb3ba0ac7d1.png
8bitgopher,-1,https://emoji.slack-edge.com/T0XNJNF35/8bitgopher/f72767c16e2981a8.png
a-little,1,https://emoji.slack-edge.com/T0XNJNF35/a-little/b0ac4a7f99cd2f56.gif
abdulpls,1,https://emoji.slack-edge.com/T0XNJNF35/abdulpls/50eb74edd9f9c51c.gif
adblock,1,https://emoji.slack-edge.com/T0XNJNF35/adblock/c3e6b83431739ded.png
afk,-1,https://emoji.slack-edge.com/T0XNJNF35/afk/5244cdb546369723.png
agathawink,-1,https://emoji.slack-edge.com/T0XNJNF35/agathawink/8b8f57f3cb7368b1.png
aggressive-shush,-1,https://emoji.slack-edge.com/T0XNJNF35/aggressive-shush/aab0b6955828e9c2.png
agond,1,https://emoji.slack-edge.com/T0XNJNF35/agond/452d72d6e46273c6.gif
agontfconcern,14,https://emoji.slack-edge.com/T0XNJNF35/agontfconcern/5fb011684927484b.png
agontfhi,2,https://emoji.slack-edge.com/T0XNJNF35/agontfhi/6fdc5a0fd33ac292.png
agontflove,12,https://emoji.slack-edge.com/T0XNJNF35/agontflove/7b236bbab348bd40.png
agontfsure,3,https://emoji.slack-edge.com/T0XNJNF35/agontfsure/88f988160619f834.png
agontfw,1,https://emoji.slack-edge.com/T0XNJNF35/agontfw/88f988160619f834.png
aintnobodygottime,-1,https://emoji.slack-edge.com/T0XNJNF35/aintnobodygottime/aab0b6955828e9c2.gif
alien-wow,1,https://emoji.slack-edge.com/T0XNJNF35/alien-wow/fe4638cc4bb18c99.gif
alienpls,8,https://emoji.slack-edge.com/T0XNJNF35/alienpls/b5d7431ba7bc8d84.gif
alienpls2,-1,https://emoji.slack-edge.com/T0XNJNF35/alienpls2/f05f69d4d6d41f0c.gif
alligatorloki,2,https://emoji.slack-edge.com/T0XNJNF35/alligatorloki/731e9ef6b4788313.png
amazed,22,https://emoji.slack-edge.com/T0XNJNF35/amazed/891ca3ced4f6b1c1.gif
ambisnek,1,https://emoji.slack-edge.com/T0XNJNF35/ambisnek/dde5628d63aa07e5.png
amongus_red,1,https://emoji.slack-edge.com/T0XNJNF35/amongus_red/032b32f71ddae431.png
anakin,-1,https://emoji.slack-edge.com/T0XNJNF35/anakin/8ff2091d80edd54c.png
anatomical-heart,-1,https://emoji.slack-edge.com/T0XNJNF35/anatomical-heart/bb3149a60ad62888.png
angel-money-mouth-face,-1,https://emoji.slack-edge.com/T0XNJNF35/angel-money-mouth-face/8ff2091d80edd54c.png
angry-dna,2,https://emoji.slack-edge.com/T0XNJNF35/angry-dna/bf87a5531e4907e1.png
angry-party,1,https://emoji.slack-edge.com/T0XNJNF35/angry-party/bc37c55ff5a28414.png
angrysad,1,https://emoji.slack-edge.com/T0XNJNF35/angrysad/de9b806b5a0e01e4.png
angrytalkingonthephone,-1,https://emoji.slack-edge.com/T0XNJNF35/angrytalkingonthephone/bc37c55ff5a28414.png
anothaone,-1,https://emoji.slack-edge.com/T0XNJNF35/anothaone/c6c5981535f84d1e.png
ants-love,-1,https://emoji.slack-edge.com/T0XNJNF35/ants-love/63fd7265f5565d4b.jpg
antsheartpuzzlepieces,-1,https://emoji.slack-edge.com/T0XNJNF35/antsheartpuzzlepieces/cbf0597b0aa47b2a.jpg
arthur_fist_intensifies,1,https://emoji.slack-edge.com/T0XNJNF35/arthur_fist_intensifies/c6c5981535f84d1e.gif
awake,-1,https://emoji.slack-edge.com/T0XNJNF35/awake/b45f648e3966f97e.gif
awkward,-1,https://emoji.slack-edge.com/T0XNJNF35/awkward/e6af61f240cb493e.gif
ba-dum-tss,2,https://emoji.slack-edge.com/T0XNJNF35/ba-dum-tss/3b1cb764ebbb1ef0.gif
baby-yoda,-1,https://emoji.slack-edge.com/T0XNJNF35/baby-yoda/1d8717977137aaa5.png
baby-yoda-2,-1,https://emoji.slack-edge.com/T0XNJNF35/baby-yoda-2/0a4fba049fa048f9.gif
baby-yoda-hi,-1,https://emoji.slack-edge.com/T0XNJNF35/baby-yoda-hi/c6a44392ff5bd686.gif
babyrage,-1,https://emoji.slack-edge.com/T0XNJNF35/babyrage/cec0efbc42283bec.png
babyyodahype,3,https://emoji.slack-edge.com/T0XNJNF35/babyyodahype/d4d8a177e8733bfe.png
babyyodalove,4,https://emoji.slack-edge.com/T0XNJNF35/babyyodalove/a28ed78108b9485f.png
banned,5,https://emoji.slack-edge.com/T0XNJNF35/banned/134d0e8bd41fa70f.gif
based,-1,https://emoji.slack-edge.com/T0XNJNF35/based/7a5599f1783a3082.png
bat-cheese,-1,https://emoji.slack-edge.com/T0XNJNF35/bat-cheese/d3b0ceaeeaff0bab.gif
bender-neat,1,https://emoji.slack-edge.com/T0XNJNF35/bender-neat/578f54442803c1b2.gif
bernardo,5,https://emoji.slack-edge.com/T0XNJNF35/bernardo/f295443d64b6cff6.png
best-of-luck,1,https://emoji.slack-edge.com/T0XNJNF35/best-of-luck/53b5d7cf3470dfae.png
biblethump,-1,https://emoji.slack-edge.com/T0XNJNF35/biblethump/15dd80a290cec8b0.png
bidencarrey,-1,https://emoji.slack-edge.com/T0XNJNF35/bidencarrey/b605d7edf985c3fa.png
bidenjam,-1,https://emoji.slack-edge.com/T0XNJNF35/bidenjam/da782e1838ba0da2.gif
bidenshuffle,-1,https://emoji.slack-edge.com/T0XNJNF35/bidenshuffle/e8d20f00a07080e6.gif
bigbrother,-1,https://emoji.slack-edge.com/T0XNJNF35/bigbrother/2920343f4eccdaef.png
birds_arent_real,-1,https://emoji.slack-edge.com/T0XNJNF35/birds_arent_real/e6eb8ea0d725e339.png
bitcoin,-1,https://emoji.slack-edge.com/T0XNJNF35/bitcoin/352cbd8c061564e3.png
blob-cake,22,https://emoji.slack-edge.com/T0XNJNF35/blob-cake/6418c1fbe1cbaad4.gif
blob-camping,-1,https://emoji.slack-edge.com/T0XNJNF35/blob-camping/e6af61f240cb493e.gif
blob-dundundun,3,https://emoji.slack-edge.com/T0XNJNF35/blob-dundundun/f271bab662379857.gif
blob-fearful,1,https://emoji.slack-edge.com/T0XNJNF35/blob-fearful/5ae3aae2e701dde5.png
blob-finger-guns,19,https://emoji.slack-edge.com/T0XNJNF35/blob-finger-guns/9d0d780315d55349.png
blob-hairflip,6,https://emoji.slack-edge.com/T0XNJNF35/blob-hairflip/66ae4f23fce98c09.gif
blob-hypesquad,-1,https://emoji.slack-edge.com/T0XNJNF35/blob-hypesquad/7e7a7ffbd116b150.png
blob-jake,1,https://emoji.slack-edge.com/T0XNJNF35/blob-jake/93ad1d6c1508623a.png
blob-lul,17,https://emoji.slack-edge.com/T0XNJNF35/blob-lul/f40bea113ba2a2ff.png
blob-ono,5,https://emoji.slack-edge.com/T0XNJNF35/blob-ono/d460950e5a735656.png
blob-peek,-1,https://emoji.slack-edge.com/T0XNJNF35/blob-peek/ccd8926bdb2f32a1.png
blob-pusheen,-1,https://emoji.slack-edge.com/T0XNJNF35/blob-pusheen/0ea63cde397df6b4.png
blob-rick,-1,https://emoji.slack-edge.com/T0XNJNF35/blob-rick/2624ba91f8924944.png
blob-spam,-1,https://emoji.slack-edge.com/T0XNJNF35/blob-spam/bed0f8a4f17212b4.png
blob-thats-hot,-1,https://emoji.slack-edge.com/T0XNJNF35/blob-thats-hot/9593b1927fde9ec7.png
blob-thinking-cool,5,https://emoji.slack-edge.com/T0XNJNF35/blob-thinking-cool/e4d8f0f0e0578526.png
blob-yes,2,https://emoji.slack-edge.com/T0XNJNF35/blob-yes/d2a80d9f7aab32e2.png
blobaww,8,https://emoji.slack-edge.com/T0XNJNF35/blobaww/31d7f95f3d94eba6.png
blobawwcool,-1,https://emoji.slack-edge.com/T0XNJNF35/blobawwcool/8fa41b9dca0446b1.gif
blobcorn,1,https://emoji.slack-edge.com/T0XNJNF35/blobcorn/8fa41b9dca0446b1.png
blobdance,30,https://emoji.slack-edge.com/T0XNJNF35/blobdance/01c2559b315beee7.gif
blobfeedme,3,https://emoji.slack-edge.com/T0XNJNF35/blobfeedme/9593b1927fde9ec7.gif
blobseal,8,https://emoji.slack-edge.com/T0XNJNF35/blobseal/51d7d4a0e10208a3.png
blobsealw,2,https://emoji.slack-edge.com/T0XNJNF35/blobsealw/c3e2c86306d9dc82.png
blobseal_sunglasses,-1,https://emoji.slack-edge.com/T0XNJNF35/blobseal_sunglasses/5b91257a123eb0c6.png
blobthinkingglare,-1,https://emoji.slack-edge.com/T0XNJNF35/blobthinkingglare/6528f5fd66cb3e01.png
blobwaitwhat,-1,https://emoji.slack-edge.com/T0XNJNF35/blobwaitwhat/6528f5fd66cb3e01.png
